,チーム1の得点,チーム2の得点,ATT_diff,MID_diff,DEF_diff,OVR_diff,Result,Team1,Team2
312,1,0,8,5,8,6,1,12,9
313,1,0,8,5,8,6,1,12,9
314,1,0,8,5,8,6,1,12,9
315,0,1,-6,-6,-4,-5,-1,9,15
316,1,3,7,7,4,6,-1,15,3
317,3,2,-3,-3,-2,-2,1,3,23
318,2,0,9,5,5,4,1,23,5
319,0,2,-6,-2,-3,-2,-1,5,7
320,2,1,-4,-1,1,-1,1,7,8
321,1,1,2,0,-3,0,0,8,4
322,1,6,-10,-9,-5,-8,-1,4,14
323,6,1,12,11,9,10,1,14,0
324,1,2,3,1,2,2,-1,0,19
325,2,1,-3,-3,-4,-3,1,19,24
326,1,1,-4,-4,-6,-5,0,24,16
327,1,0,-3,-3,1,-1,1,16,1
328,0,0,4,5,3,4,0,1,23
329,0,1,-1,2,3,1,-1,23,8
330,1,3,-3,-2,-4,-3,-1,8,2
331,3,1,10,7,7,8,1,2,13
332,1,1,-5,-5,-6,-5,0,13,4
333,1,1,1,0,2,0,0,4,9
334,1,3,-8,-5,-8,-6,-1,9,12
335,3,0,9,5,9,6,1,12,18
336,0,0,-7,-6,-5,-5,0,18,15
337,0,3,-5,-3,-3,-3,-1,15,14
338,3,0,10,5,5,5,1,14,6
339,0,2,2,5,2,4,-1,6,3
340,0,2,2,5,2,4,-1,6,3
341,0,2,2,5,2,4,-1,6,3
342,0,2,2,5,2,4,-1,6,3
343,2,5,-7,-8,-5,-6,-1,3,1
344,5,0,10,10,9,9,1,1,19
345,0,2,-3,-1,-2,-2,-1,19,0
346,2,1,6,1,1,1,1,0,5
347,1,2,-6,-3,-3,-2,-1,5,24
348,2,2,-4,-4,-6,-5,0,24,16
349,2,1,4,5,6,5,1,16,7
350,1,2,-6,-4,-3,-5,-1,7,21
351,1,2,-6,-4,-3,-5,-1,7,21
352,1,2,-6,-4,-3,-5,-1,7,21
353,1,2,-6,-4,-3,-5,-1,7,21
354,2,2,0,0,0,0,0,21,21
355,2,0,5,3,3,4,1,21,9
356,0,4,-6,-2,-3,-3,-1,9,2
357,4,1,4,0,1,2,1,2,23
358,1,2,-6,-3,-6,-5,-1,23,12
359,1,2,-6,-3,-6,-5,-1,23,12
360,1,2,-6,-3,-6,-5,-1,23,12
361,1,2,-6,-3,-6,-5,-1,23,12
362,2,0,5,5,9,6,1,12,8
363,2,0,5,5,9,6,1,12,8
364,2,0,5,5,9,6,1,12,8
365,2,0,5,5,9,6,1,12,8
366,2,0,5,5,9,6,1,12,8
367,2,0,5,5,9,6,1,12,8
368,2,0,5,5,9,6,1,12,8
369,2,0,5,5,9,6,1,12,8
370,2,0,5,5,9,6,1,12,8
371,0,1,4,2,1,2,-1,8,0
372,1,2,0,-2,-2,-1,-1,0,24
373,2,3,0,1,0,0,-1,24,3
374,3,0,6,2,3,2,1,3,5
375,0,2,-18,-12,-10,-11,-1,5,14
376,0,2,-18,-12,-10,-11,-1,5,14
377,0,2,-18,-12,-10,-11,-1,5,14
378,0,2,-18,-12,-10,-11,-1,5,14
379,0,2,-18,-12,-10,-11,-1,5,14
380,0,2,-18,-12,-10,-11,-1,5,14
381,0,2,-18,-12,-10,-11,-1,5,14
382,0,2,-18,-12,-10,-11,-1,5,14
383,0,2,-18,-12,-10,-11,-1,5,14
384,2,1,10,9,5,8,1,14,4
385,1,4,-2,-4,-4,-4,-1,4,16
386,4,0,4,5,6,5,1,16,7
387,0,2,0,-1,1,-1,-1,7,18
388,2,2,3,5,3,5,0,18,13
389,2,2,-5,-9,-6,-8,0,13,6
390,2,2,-5,-3,-3,-2,0,6,1
391,2,1,10,10,9,9,1,1,19
392,1,2,-10,-9,-8,-9,-1,19,15
393,1,2,-10,-9,-8,-9,-1,19,15
394,1,2,-10,-9,-8,-9,-1,19,15
395,1,2,-10,-9,-8,-9,-1,19,15
396,2,2,5,6,2,5,0,15,4
397,2,2,-7,-5,-6,-6,0,4,12
398,2,2,6,3,6,5,0,12,23
399,2,2,-1,-2,-4,-3,0,23,16
400,2,1,4,4,6,5,1,16,24
401,2,1,4,4,6,5,1,16,24
402,2,1,4,4,6,5,1,16,24
403,2,1,4,4,6,5,1,16,24
404,1,1,-7,-2,-3,-4,0,24,2
405,1,1,0,-5,-2,-2,0,2,1
406,1,0,-5,-2,-2,-3,1,1,14
407,0,0,15,14,11,13,0,14,13
408,0,1,-9,-8,-7,-9,-1,13,21
409,1,1,12,6,6,7,0,21,5
410,1,4,-8,-7,-5,-6,-1,5,6
411,4,3,-2,4,3,3,1,6,8
412,3,0,4,2,1,2,1,8,0
413,0,3,-1,-2,-2,-2,-1,0,9
414,3,1,4,3,4,4,1,9,19
415,2,1,7,7,4,6,1,15,3
416,0,0,0,-1,1,-1,0,7,18
417,0,1,3,5,3,5,-1,18,13
418,1,2,3,-2,-1,-2,-1,13,5
419,2,0,-7,-3,-3,-3,1,5,9
420,0,2,-1,-4,-2,-3,-1,9,6
421,2,1,2,4,3,3,1,6,18
422,1,1,0,1,-1,1,0,18,3
423,1,6,-7,-3,-3,-4,-1,3,2
424,6,1,5,2,1,3,1,2,4
425,1,0,2,2,4,2,1,4,0
426,1,0,2,2,4,2,1,4,0
427,1,0,2,2,4,2,1,4,0
428,1,0,2,2,4,2,1,4,0
429,0,4,-7,-9,-7,-7,-1,0,1
430,4,1,3,7,6,5,1,1,8
431,4,1,3,7,6,5,1,1,8
432,4,1,3,7,6,5,1,1,8
433,4,1,3,7,6,5,1,1,8
434,1,2,7,5,3,5,-1,8,13
435,2,0,-10,-11,-8,-10,1,13,15
436,0,1,7,7,4,6,-1,15,7
437,1,2,-4,-5,-6,-5,-1,7,16
438,2,0,10,7,9,7,1,16,5
439,0,2,-9,-5,-5,-4,-1,5,23
440,2,0,6,5,6,5,1,23,19
441,0,2,-3,-3,-4,-3,-1,19,24
442,2,1,-12,-9,-7,-9,1,24,14
443,1,2,6,6,4,4,-1,14,21
444,2,1,-3,-2,-5,-2,1,21,12
445,1,2,2,-2,3,1,-1,12,1
446,2,2,1,4,2,1,0,1,21
447,2,3,4,3,1,4,-1,21,4
448,3,1,2,2,4,2,1,4,0
449,1,0,-2,-6,-4,-5,1,0,6
450,0,1,-5,2,-1,0,-1,6,2
451,1,3,-2,-3,-5,-3,-1,2,12
452,3,1,6,3,6,5,1,12,23
453,1,0,6,5,6,5,1,23,19
454,0,8,-7,-7,-10,-8,-1,19,16
455,8,0,4,5,6,5,1,16,7
456,0,0,-1,-1,0,-1,0,7,9
457,0,1,4,5,4,5,-1,9,13
458,1,1,-3,-5,-4,-4,0,13,24
459,1,2,-12,-9,-7,-9,-1,24,14
460,2,0,12,9,8,8,1,14,18
461,0,1,0,1,-1,1,-1,18,3
462,0,1,0,1,-1,1,-1,18,3
463,0,1,0,1,-1,1,-1,18,3
464,0,1,0,1,-1,1,-1,18,3
465,1,3,-4,-1,1,-1,-1,3,8
466,3,0,10,3,2,3,1,8,5
467,0,1,-13,-9,-7,-8,-1,5,15
468,1,1,7,6,5,5,0,15,18
469,1,1,6,3,2,3,0,18,5
470,1,0,-6,-1,-1,-1,1,5,0
471,0,0,-2,-6,-4,-5,0,0,6
472,0,0,-2,4,3,3,0,6,8
473,0,0,-2,4,3,3,0,6,8
474,0,0,-2,4,3,3,0,6,8
475,0,0,-2,4,3,3,0,6,8
476,0,1,-3,-7,-6,-5,-1,8,1
477,1,1,7,7,5,6,0,1,24
478,1,3,-9,-5,-8,-7,-1,24,12
479,1,3,-9,-5,-8,-7,-1,24,12
480,1,3,-9,-5,-8,-7,-1,24,12
481,1,3,-9,-5,-8,-7,-1,24,12
482,3,3,2,3,5,3,0,12,2
483,3,1,7,3,3,4,1,2,7
484,1,1,-1,-1,0,-1,0,7,9
485,1,0,4,5,4,5,1,9,13
486,0,1,-10,-11,-8,-10,-1,13,15
487,1,3,5,6,2,5,-1,15,4
488,3,2,-4,-3,-1,-4,1,4,21
489,2,1,9,6,7,8,1,21,19
490,1,1,-6,-5,-6,-5,0,19,23
491,1,3,-9,-7,-5,-7,-1,23,14
492,1,0,4,5,6,5,1,16,3
493,0,3,0,0,0,0,-1,3,7
494,3,2,0,-1,0,0,1,7,24
495,2,5,-7,-7,-5,-6,-1,24,1
496,5,0,7,7,5,6,1,1,24
497,0,2,-7,-2,-3,-4,-1,24,2
498,2,1,5,2,1,3,1,2,4
499,1,1,2,1,2,1,0,4,3
500,1,0,-12,-10,-7,-9,1,3,14
501,0,1,10,5,5,5,-1,14,6
502,0,1,10,5,5,5,-1,14,6
503,0,1,10,5,5,5,-1,14,6
504,0,1,10,5,5,5,-1,14,6
505,1,1,-2,0,-4,-1,0,6,16
506,1,1,0,-1,1,-1,0,7,18
507,1,1,-4,0,0,0,0,18,8
508,1,0,4,2,1,2,1,8,0
509,0,1,3,3,2,2,-1,0,10
510,1,4,-9,-8,-7,-8,-1,10,21
511,4,2,8,4,4,6,1,21,11
512,2,1,-5,-3,-3,-3,1,11,23
513,2,1,-5,-3,-3,-3,1,11,23
514,2,1,-5,-3,-3,-3,1,11,23
515,2,1,-5,-3,-3,-3,1,11,23
516,1,2,-4,-4,-2,-4,-1,23,15
517,2,1,6,6,4,5,1,15,9
518,1,4,5,7,2,4,-1,9,20
519,4,4,-13,-12,-10,-10,0,20,12
520,4,4,2,-1,4,1,0,12,15
521,4,1,5,2,2,2,1,15,6
522,1,1,0,4,0,3,0,6,4
523,1,1,0,4,0,3,0,6,4
524,1,1,0,4,0,3,0,6,4
525,1,1,0,4,0,3,0,6,4
526,1,1,-10,-9,-5,-8,0,4,14
527,1,0,8,5,1,4,1,14,16
528,0,0,6,5,7,6,0,16,11
529,0,3,-5,-3,-3,-3,-1,11,23
530,3,1,6,7,6,5,1,23,10
531,1,3,-5,-5,-6,-4,-1,10,4
532,3,1,6,7,4,4,1,4,20
533,1,1,-16,-16,-9,-12,0,20,14
534,1,1,-16,-16,-9,-12,0,20,14
535,1,1,-16,-16,-9,-12,0,20,14
536,1,1,-16,-16,-9,-12,0,20,14
537,1,0,10,5,5,5,1,14,6
538,1,0,10,5,5,5,1,14,6
539,1,0,10,5,5,5,1,14,6
540,1,0,10,5,5,5,1,14,6
541,0,1,-4,1,-1,-1,-1,6,21
542,1,3,6,4,3,5,-1,21,3
543,3,0,0,1,2,1,1,3,0
544,0,1,-7,-8,-6,-7,-1,0,15
545,1,2,6,6,4,5,-1,15,9
546,2,2,1,1,0,1,0,9,7
547,2,1,-9,-6,-8,-7,1,7,12
548,2,1,-9,-6,-8,-7,1,7,12
549,2,1,-9,-6,-8,-7,1,7,12
550,2,1,-9,-6,-8,-7,1,7,12
551,1,1,2,3,5,3,0,12,2
552,1,1,7,2,3,4,0,2,24
553,1,1,-4,0,1,-1,0,24,8
554,1,1,4,0,0,0,0,8,18
555,1,0,-7,-7,-6,-5,1,18,1
556,0,4,3,3,-1,1,-1,1,16
557,4,1,2,4,4,4,1,16,4
558,1,0,4,1,3,2,1,4,11
559,0,3,-11,-6,-9,-8,-1,11,12
560,3,2,9,6,8,7,1,12,3
561,2,0,-3,-3,-2,-2,1,3,23
562,2,0,-3,-3,-2,-2,1,3,23
563,2,0,-3,-3,-2,-2,1,3,23
564,2,0,-3,-3,-2,-2,1,3,23
565,0,0,-1,2,3,1,0,23,8
566,0,3,-8,-9,-8,-8,-1,8,14
567,3,0,5,2,2,3,1,14,1
568,0,3,5,7,3,5,-1,1,4
569,3,2,5,5,6,4,1,4,10
570,2,2,-7,-9,-10,-8,0,10,16
571,2,2,-3,2,3,1,0,16,2
572,2,1,1,-1,0,-1,1,2,21
573,1,2,4,-1,1,1,-1,21,6
574,2,2,2,4,3,3,0,6,18
575,2,2,0,1,-1,1,0,18,7
576,2,0,0,1,2,1,1,7,0
577,0,2,-7,-8,-6,-7,-1,0,15
578,0,2,-7,-8,-6,-7,-1,0,15
579,0,2,-7,-8,-6,-7,-1,0,15
580,0,2,-7,-8,-6,-7,-1,0,15
581,2,0,7,6,4,6,1,15,24
582,0,0,4,7,2,3,0,24,20
583,0,2,-5,-7,-2,-4,-1,20,9
584,2,5,0,0,0,0,-1,9,9
585,5,3,3,1,1,2,1,9,11
586,3,1,-4,-1,-3,-2,1,11,4
587,1,5,-2,0,3,0,-1,4,8
588,5,4,4,0,0,0,1,8,18
589,4,3,4,7,1,4,1,18,20
590,3,0,-8,-11,-8,-8,1,20,16
591,0,2,-3,-3,1,-1,-1,16,1
592,2,1,4,5,3,4,1,1,23
593,1,0,-4,-4,-2,-4,1,23,15
594,0,1,7,8,6,7,-1,15,0
595,1,3,-2,-6,-4,-5,-1,0,6
596,3,2,-10,-5,-5,-5,1,6,14
597,2,1,15,14,11,12,1,14,10
598,1,1,-9,-8,-7,-8,0,10,21
599,1,0,6,4,3,5,1,21,7
600,0,1,0,-1,0,0,-1,7,24
601,1,0,-7,-2,-3,-4,1,24,2
602,0,1,-2,-3,-5,-3,-1,2,12
603,1,0,9,6,8,7,1,12,3
604,0,1,-2,-1,-2,-1,-1,3,4
605,1,0,-5,-6,-2,-5,1,4,15
606,0,1,-2,1,-4,-1,-1,15,12
607,0,1,-2,1,-4,-1,-1,15,12
608,0,1,-2,1,-4,-1,-1,15,12
609,0,1,-2,1,-4,-1,-1,15,12
610,0,3,-11,-9,-7,-8,-1,9,14
611,3,0,9,7,5,7,1,14,23
612,3,1,5,3,3,2,1,1,6
613,1,2,4,5,3,5,-1,6,11
614,2,2,-6,-1,0,-2,0,11,8
615,2,4,4,2,1,2,-1,8,0
616,4,1,3,3,2,2,1,0,10
617,1,1,-4,-5,-4,-4,0,10,9
618,1,2,-11,-9,-7,-8,-1,9,14
619,2,1,5,3,3,3,1,14,15
620,1,0,0,4,1,2,1,15,2
621,0,3,3,-2,-3,-1,-1,2,16
622,3,1,8,11,8,8,1,16,20
623,1,4,-13,-12,-10,-10,-1,20,12
624,4,3,3,2,5,2,1,12,21
625,3,4,6,4,3,5,-1,21,7
626,4,3,-3,-3,-2,-2,1,7,23
627,3,2,3,3,2,2,1,23,3
628,2,1,0,-1,1,-1,1,3,18
629,1,6,-2,0,-3,0,-1,18,4
630,6,0,2,0,2,1,1,4,24
631,0,1,-4,0,1,-1,-1,24,8
632,1,4,0,-4,-7,-4,-1,8,16
633,4,0,8,11,8,8,1,16,20
634,0,1,-4,-5,0,-2,-1,20,0
635,1,2,-6,-5,-5,-6,-1,0,21
636,1,2,-6,-5,-5,-6,-1,0,21
637,1,2,-6,-5,-5,-6,-1,0,21
638,1,2,-6,-5,-5,-6,-1,0,21
639,2,2,-1,-3,-1,-1,0,21,15
640,2,3,7,6,5,5,-1,15,18
641,3,1,-2,0,-3,0,1,18,4
642,1,0,0,-4,0,-3,1,4,6
643,2,1,-3,-3,-2,-2,1,3,23
644,2,4,-3,-4,1,-2,-1,12,14
645,4,1,5,2,2,3,1,14,1
646,1,2,7,7,5,6,-1,1,24
647,1,2,7,7,5,6,-1,1,24
648,1,2,7,7,5,6,-1,1,24
649,1,2,7,7,5,6,-1,1,24
650,2,0,0,1,0,0,1,24,7
651,0,1,-7,-3,-3,-4,-1,7,2
652,1,0,6,2,3,3,1,2,9
653,0,1,4,5,4,4,-1,9,10
654,1,1,-1,-4,-3,-2,0,10,11
655,1,1,-1,-4,-3,-2,0,10,11
656,1,1,-1,-4,-3,-2,0,10,11
657,1,1,-1,-4,-3,-2,0,10,11
658,1,0,-2,1,1,0,1,11,0
659,0,4,-3,-4,-4,-3,-1,0,23
660,4,6,-1,-2,-4,-3,-1,23,16
661,6,1,-2,1,3,0,1,16,21
662,1,2,5,3,3,4,-1,21,9
663,2,1,4,5,4,4,1,9,10
664,1,1,-3,-4,-4,-3,0,10,3
665,1,1,-7,-3,-3,-4,0,3,2
666,1,0,7,3,3,4,1,2,7
667,1,0,7,3,3,4,1,2,7
668,1,0,7,3,3,4,1,2,7
669,1,0,7,3,3,4,1,2,7
670,0,0,-4,-1,1,-1,0,7,8
671,0,2,6,1,0,2,-1,8,11
672,2,1,-2,-1,-1,-1,1,11,24
673,3,2,9,5,9,6,1,12,18
674,2,3,-7,-7,-6,-5,-1,18,1
675,3,3,11,14,7,9,0,1,20
676,3,1,-1,-2,2,0,1,20,10
677,1,6,-12,-10,-12,-10,-1,10,12
678,6,2,6,3,6,5,1,12,23
679,2,2,-4,-5,-3,-4,0,23,1
680,2,0,7,7,6,5,1,1,18
681,0,2,-7,-6,-5,-5,-1,18,15
682,2,3,0,4,1,2,-1,15,2
683,3,0,3,-2,-3,-1,1,2,16
684,0,1,2,0,4,1,-1,16,6
685,1,2,0,4,0,3,-1,6,4
686,2,1,-2,0,3,0,1,4,8
687,1,3,3,0,-1,0,-1,8,9
688,3,0,5,7,2,4,1,9,20
689,0,2,-4,-6,-2,-3,-1,20,7
690,2,2,-6,-4,-3,-5,0,7,21
691,2,3,6,5,5,6,-1,21,0
692,3,2,0,-2,-2,-1,1,0,24
693,2,0,0,1,0,0,1,24,3
694,0,3,-12,-10,-7,-9,-1,3,14
695,0,3,-12,-10,-7,-9,-1,3,14
696,0,3,-12,-10,-7,-9,-1,3,14
697,0,3,-12,-10,-7,-9,-1,3,14
698,3,1,14,10,8,10,1,14,11
699,1,1,1,4,3,2,0,11,10
700,1,5,-3,-4,-4,-3,-1,10,7
701,5,2,-9,-6,-8,-7,1,7,12
702,2,2,2,-2,3,1,0,12,1
703,2,2,2,-2,3,1,0,12,1
704,2,2,2,-2,3,1,0,12,1
705,2,2,2,-2,3,1,0,12,1
706,2,2,0,1,1,0,0,1,15
707,2,2,0,1,1,0,0,1,15
708,2,2,0,1,1,0,0,1,15
709,2,2,0,1,1,0,0,1,15
710,2,0,3,6,5,5,1,15,8
711,0,2,-3,-2,-4,-3,-1,8,2
712,0,2,-3,-2,-4,-3,-1,8,2
713,0,2,-3,-2,-4,-3,-1,8,2
714,0,2,-3,-2,-4,-3,-1,8,2
715,2,0,7,2,4,3,1,2,18
716,1,2,-4,-5,-6,-5,-1,3,16
717,2,0,3,4,6,4,1,16,9
718,0,1,-2,-2,-2,-1,-1,9,23
719,1,0,5,3,3,3,1,23,11
720,0,1,-2,1,1,0,-1,11,0
721,1,1,2,0,2,1,0,4,24
722,1,0,-2,-4,-2,-4,1,24,6
723,1,0,-2,-4,-2,-4,1,24,6
724,1,0,-2,-4,-2,-4,1,24,6
725,1,0,-2,-4,-2,-4,1,24,6
726,0,1,6,11,4,7,-1,6,20
727,0,1,6,11,4,7,-1,6,20
728,0,1,6,11,4,7,-1,6,20
729,0,1,6,11,4,7,-1,6,20
730,1,4,-16,-16,-9,-12,-1,20,14
731,4,1,5,3,3,3,1,14,15
732,4,1,5,3,3,3,1,14,15
733,4,1,5,3,3,3,1,14,15
734,4,1,5,3,3,3,1,14,15
735,4,1,5,3,3,3,1,14,15
736,4,1,5,3,3,3,1,14,15
737,4,1,5,3,3,3,1,14,15
738,4,1,5,3,3,3,1,14,15
739,4,1,5,3,3,3,1,14,15
740,1,0,7,7,4,6,1,15,3
741,0,1,-3,-3,-2,-2,-1,3,23
742,1,5,-1,-2,-4,-3,-1,23,16
743,5,0,4,6,8,6,1,16,0
744,0,2,-2,-2,-4,-2,-1,0,4
745,2,2,5,5,6,4,0,4,10
746,2,1,-3,-5,-3,-4,1,10,18
747,2,1,-3,-5,-3,-4,1,10,18
748,2,1,-3,-5,-3,-4,1,10,18
749,2,1,-3,-5,-3,-4,1,10,18
750,1,1,2,1,0,2,0,18,11
751,1,2,-9,-3,-4,-5,-1,11,2
752,2,0,5,-2,1,0,1,2,6
753,0,0,-7,-1,-6,-3,0,6,12
754,0,1,5,5,9,6,-1,12,8
755,0,1,5,5,9,6,-1,12,8
756,0,1,5,5,9,6,-1,12,8
757,0,1,5,5,9,6,-1,12,8
758,0,1,5,5,9,6,-1,12,8
759,0,1,5,5,9,6,-1,12,8
760,0,1,5,5,9,6,-1,12,8
761,0,1,5,5,9,6,-1,12,8
762,0,1,5,5,9,6,-1,12,8
763,1,1,-2,-3,-4,-4,0,8,21
764,1,1,3,1,1,3,0,21,23
765,1,0,7,9,4,5,1,23,20
766,0,2,-8,-11,-8,-8,-1,20,16
767,2,0,-3,-2,2,-1,1,16,15
768,0,4,-5,-3,-3,-3,-1,15,14
769,4,1,3,4,-1,2,1,14,12
770,1,4,2,-2,3,1,-1,12,1
771,4,1,10,12,9,9,1,1,10
772,1,2,-3,-3,-2,-2,-1,10,0
773,2,1,-1,-2,-2,-2,1,0,9
774,1,3,-1,0,-2,0,-1,9,4
775,3,3,2,1,2,1,0,4,3
776,3,2,0,0,0,0,1,3,7
777,2,1,2,0,1,1,1,7,11
778,1,1,-2,-1,0,-2,0,11,18
779,1,1,0,0,-1,1,0,18,24
780,0,2,-5,2,-1,0,-1,6,2
781,2,4,0,-5,-2,-2,-1,2,1
782,2,4,0,-5,-2,-2,-1,2,1
783,2,4,0,-5,-2,-2,-1,2,1
784,2,4,0,-5,-2,-2,-1,2,1
785,4,1,7,8,5,6,1,1,7
786,1,3,-7,-3,-3,-4,-1,7,2
787,3,0,7,4,5,5,1,2,0
788,0,1,0,-1,-2,-1,-1,0,3
789,1,1,2,0,1,1,0,3,11
790,1,3,2,6,1,2,-1,11,20
791,3,3,-10,-10,-5,-8,0,20,21
792,3,2,6,3,3,5,1,21,24
793,2,4,3,5,4,3,-1,24,10
794,4,2,-5,-9,-6,-7,1,10,6
795,2,2,-2,4,3,3,0,6,8
796,2,1,4,0,0,0,1,8,18
797,1,2,-4,-4,-7,-4,-1,18,16
798,2,1,2,4,4,4,1,16,4
799,2,1,2,4,4,4,1,16,4
800,2,1,2,4,4,4,1,16,4
801,2,1,2,4,4,4,1,16,4
802,1,0,2,1,2,1,1,4,7
803,0,0,4,6,2,3,0,7,20
804,0,2,-4,-6,-2,-3,-1,20,3
805,2,0,-1,-1,0,-1,1,3,9
806,0,3,-6,-7,-5,-5,-1,9,1
807,3,0,0,1,1,0,1,1,15
808,0,0,11,13,6,9,0,15,20
809,0,1,-7,-9,-4,-5,-1,20,23
810,1,1,-4,0,-1,-2,0,23,2
811,1,2,3,-2,-3,-1,-1,2,16
812,1,1,0,2,2,1,0,24,0
813,1,0,-9,-7,-10,-8,1,0,12
814,1,0,4,1,-1,1,1,8,3
815,0,2,3,4,4,3,-1,3,10
816,2,2,-5,-5,-6,-4,0,10,4
817,2,1,4,1,3,2,1,4,11
818,1,3,-4,-5,-3,-5,-1,11,6
819,3,3,-4,1,-1,-1,0,6,21
820,3,1,6,3,4,4,1,21,18
821,1,0,0,1,-1,1,1,18,7
822,0,1,-12,-10,-7,-9,-1,7,14
823,1,3,12,10,7,9,-1,14,3
824,3,2,-1,-1,0,-1,1,3,9
825,2,2,1,0,1,0,0,9,18
826,2,2,-4,0,0,0,0,18,8
827,2,7,-5,-5,-9,-6,-1,8,12
828,7,0,2,-1,4,1,1,12,15
829,0,2,-5,-3,-3,-3,-1,15,14
830,2,0,8,5,1,4,1,14,16
831,0,3,-3,-3,1,-1,-1,16,1
832,3,2,7,9,7,7,1,1,0
833,2,1,-7,-4,-5,-5,1,0,2
834,0,4,-2,-1,-2,-1,-1,7,4
835,4,0,-1,-2,0,-1,1,4,23
836,0,1,1,-2,0,-2,-1,23,6
837,1,0,5,9,6,7,1,6,10
838,0,1,-3,-5,-4,-3,-1,10,24
839,1,0,-6,-3,-3,-5,1,24,21
840,0,1,10,10,5,8,-1,21,20
841,1,0,-2,-6,-1,-2,1,20,11
842,0,4,-9,-8,-6,-7,-1,11,1
843,4,0,3,7,6,5,1,1,8
844,0,2,-5,-5,-9,-6,-1,8,12
845,2,0,9,5,8,7,1,12,24
846,0,2,-6,-3,-3,-5,-1,24,21
847,2,0,4,-1,1,1,1,21,6
848,2,1,10,7,7,7,1,2,10
849,1,0,1,2,-2,0,1,10,20
850,0,0,-2,-6,-1,-2,0,20,11
851,0,1,-9,-8,-6,-7,-1,11,1
852,1,4,4,5,3,4,-1,1,23
853,4,0,3,2,3,1,1,23,18
854,0,1,0,2,1,2,-1,18,0
855,1,4,-12,-11,-9,-10,-1,0,14
856,4,0,12,10,7,9,1,14,7
857,0,0,-9,-6,-8,-7,0,7,12
858,0,1,8,5,8,6,-1,12,9
859,1,1,1,0,0,1,0,9,24
860,1,3,-7,-6,-4,-6,-1,24,15
861,3,0,9,7,5,7,1,15,11
862,0,2,-8,-4,-4,-6,-1,11,21
863,2,0,3,1,1,3,1,21,23
864,0,2,-4,0,-1,-2,-1,23,2
865,4,1,7,8,5,6,1,1,3
866,1,1,0,0,0,0,0,3,7
867,1,1,0,0,0,0,0,3,7
868,1,1,0,0,0,0,0,3,7
869,1,1,0,0,0,0,0,3,7
870,1,0,-2,-1,-2,-1,1,7,4
871,0,1,1,0,2,0,-1,4,9
872,1,0,-1,-4,-2,-3,1,9,6
873,1,1,-8,-7,-1,-4,0,20,8
874,1,0,7,5,3,4,1,8,10
875,0,1,-3,-5,-3,-4,-1,10,18
876,1,1,-12,-9,-8,-8,0,18,14
877,1,0,12,9,7,9,1,14,24
878,0,1,0,2,2,1,-1,24,0
879,1,0,-4,-6,-8,-6,1,0,16
880,0,2,-5,-1,-2,-2,-1,16,12
881,2,1,2,-2,3,1,1,12,1
882,2,1,2,-2,3,1,1,12,1
883,2,1,2,-2,3,1,1,12,1
884,2,1,2,-2,3,1,1,12,1
885,1,3,-5,-2,-2,-3,-1,1,14
886,3,2,3,4,-1,2,1,14,12
887,0,0,7,5,3,4,0,8,10
888,0,2,-10,-11,-8,-9,-1,10,15
889,2,3,-5,-3,-3,-3,-1,15,14
890,3,1,5,7,4,5,1,14,2
891,1,1,4,0,1,2,0,2,23
892,1,1,1,-2,0,-2,0,23,6
893,1,1,-5,-3,-3,-2,0,6,1
894,1,1,7,8,5,6,0,1,3
895,1,2,1,0,2,0,-1,4,9
896,2,0,1,0,1,0,1,9,18
897,0,4,2,1,0,2,-1,18,11
898,4,1,-8,-4,-4,-6,1,11,21
899,1,1,10,10,5,8,0,21,20
900,1,2,-4,-7,-2,-3,-1,20,24
901,1,2,-4,-7,-2,-3,-1,20,24
902,1,2,-4,-7,-2,-3,-1,20,24
903,1,2,-4,-7,-2,-3,-1,20,24
904,2,1,0,2,2,1,1,24,0
905,1,1,-4,-6,-8,-6,0,0,16
906,1,2,-3,-2,2,-1,-1,16,15
907,2,2,10,11,8,9,0,15,10
908,1,0,3,5,3,4,1,18,10
909,0,1,-9,-8,-7,-8,-1,10,21
910,1,0,-6,-6,-4,-4,1,21,14
911,0,1,8,9,8,8,-1,14,8
912,1,0,-3,-7,-6,-5,1,8,1
913,0,2,0,5,2,2,-1,1,2
914,2,4,9,3,4,5,-1,2,11
915,4,3,-2,0,-1,-1,1,11,3
916,3,0,4,6,2,3,1,3,20
917,3,0,4,6,2,3,1,3,20
918,3,0,4,6,2,3,1,3,20
919,3,0,4,6,2,3,1,3,20
920,0,1,-6,-7,-4,-4,-1,20,4
921,2,1,7,7,4,6,1,15,7
922,1,3,0,-1,0,0,-1,7,24
923,3,0,-9,-5,-8,-7,1,24,12
924,0,1,5,1,2,2,-1,12,16
925,1,1,1,2,4,3,0,16,23
926,1,0,1,-2,0,-2,1,23,6
927,0,0,1,4,2,3,0,6,9
928,0,0,0,0,0,0,0,9,9
929,0,1,-5,-3,-3,-4,-1,9,21
930,1,0,9,8,7,8,1,21,10
931,0,0,-3,-4,-4,-3,0,10,3
932,3,0,12,9,7,9,1,14,24
933,0,3,-7,-7,-5,-6,-1,24,1
934,3,2,0,1,1,0,1,1,15
935,2,0,-2,1,-4,-1,1,15,12
936,0,0,7,1,6,3,0,12,6
937,0,1,2,6,4,5,-1,6,0
938,1,2,2,1,0,2,-1,18,11
939,2,2,-4,-1,-3,-2,0,11,4
