,チーム1の得点,チーム2の得点,ATT_diff,MID_diff,DEF_diff,OVR_diff,Result,Team1,Team2
1223,4,0,6,4,3,5,1,21,3
1224,0,2,-4,-5,-6,-5,-1,3,16
1225,2,0,2,4,4,4,1,16,4
1226,0,2,-5,-2,-1,-3,-1,4,2
1227,2,1,7,3,3,4,1,2,7
1228,1,1,6,2,3,2,0,7,5
1229,0,0,12,12,11,12,0,15,22
1230,0,1,-8,-9,-8,-8,-1,8,14
1231,1,2,16,16,9,12,-1,14,20
1232,2,0,1,-2,3,1,1,20,17
1233,0,2,-12,-12,-10,-10,-1,17,1
1234,1,1,6,3,3,2,0,24,5
1235,0,1,11,9,10,11,-1,21,22
1236,1,4,-5,-5,-7,-6,-1,22,7
1237,4,6,-9,-6,-8,-7,-1,7,12
1238,6,0,12,10,12,10,1,12,10
1239,0,2,0,0,0,0,-1,10,10
1240,2,4,-10,-11,-8,-9,-1,10,15
1241,4,2,7,6,4,6,1,15,24
1242,2,1,2,1,1,1,1,24,11
1243,1,1,-1,-2,-4,-3,0,23,16
1244,1,2,-3,-3,1,-1,-1,16,1
1245,2,1,7,8,5,6,1,1,3
1246,1,0,-7,-3,-3,-4,1,3,2
1247,0,1,12,8,10,10,-1,2,22
1248,1,0,-7,-6,-9,-7,1,22,4
1249,0,3,8,3,5,3,-1,4,5
1250,3,0,-6,-2,-3,-2,1,5,7
1251,0,1,-2,-5,-2,-4,-1,7,6
1252,1,3,-7,-1,-6,-3,-1,6,12
1253,1,3,-7,-1,-6,-3,-1,6,12
1254,1,3,-7,-1,-6,-3,-1,6,12
1255,1,3,-7,-1,-6,-3,-1,6,12
1256,3,1,14,10,13,11,1,12,17
1257,1,2,-1,2,-3,-1,-1,17,20
1258,2,0,-8,-7,-1,-4,1,20,8
1259,0,2,-8,-9,-8,-8,-1,8,14
1260,2,3,6,6,4,4,-1,14,21
1261,3,2,-1,-3,-1,-1,1,21,15
1262,2,0,5,6,2,5,1,15,4
1263,0,0,8,3,5,3,0,4,5
1264,0,1,-15,-8,-11,-9,-1,5,12
1265,1,1,5,1,2,2,0,12,16
1266,1,0,-3,2,3,1,1,16,2
1267,0,0,1,-1,0,-1,0,2,21
1268,0,2,6,3,3,5,-1,21,24
1269,2,2,2,1,1,1,0,24,11
1270,2,2,-5,-3,-3,-3,0,11,23
1271,2,1,-4,-4,-2,-4,1,23,15
1272,1,1,11,13,6,9,0,15,20
1273,1,0,-4,-6,-2,-3,1,20,3
1274,0,0,0,0,0,0,0,3,7
1275,0,3,-4,-1,1,-1,-1,7,8
1276,3,0,7,5,3,4,1,8,10
1277,0,0,2,1,3,3,0,10,22
1278,0,2,-7,-6,-9,-7,-1,22,4
1279,2,0,7,5,7,5,1,4,17
1280,0,4,-17,-14,-12,-13,-1,17,14
1281,4,2,3,4,-1,2,1,14,12
1282,2,0,11,6,9,8,1,12,11
1283,0,0,-2,-1,-1,-1,0,11,24
1284,0,1,-7,-7,-5,-6,-1,24,1
1285,1,2,-5,-2,-2,-3,-1,1,14
1286,1,2,-5,-2,-2,-3,-1,1,14
1287,1,2,-5,-2,-2,-3,-1,1,14
1288,1,2,-5,-2,-2,-3,-1,1,14
1289,2,0,12,10,7,9,1,14,3
1290,0,1,5,4,5,4,-1,3,17
1291,1,1,-5,-4,-5,-4,0,17,7
1292,2,3,10,10,5,8,-1,21,20
1293,3,3,-11,-9,-5,-7,0,20,2
1294,3,3,10,7,7,7,0,2,10
1295,3,3,-7,-9,-10,-8,0,10,16
1296,3,1,0,4,7,4,1,16,8
1297,1,1,1,-2,-3,-1,0,8,23
1298,1,0,8,8,9,8,1,23,22
1299,0,1,1,-3,-4,-4,-1,22,5
1300,1,1,-13,-9,-7,-8,0,5,15
1301,1,0,13,9,7,8,1,15,5
1302,0,0,-1,3,4,4,0,5,22
1303,0,0,-12,-13,-12,-12,0,22,1
1304,0,0,13,10,8,8,0,1,5
1305,0,1,-6,-2,-3,-2,-1,5,7
1306,1,3,-9,-6,-8,-7,-1,7,12
1307,3,1,11,6,9,8,1,12,11
1308,1,1,-4,-1,-3,-2,0,11,4
1309,1,2,0,-4,0,-3,-1,4,6
1310,2,0,-4,1,-1,-1,1,6,21
1311,0,0,2,3,4,4,0,21,8
1312,0,1,-3,-2,-4,-3,-1,8,2
1313,1,1,7,3,3,4,0,2,3
1314,1,2,0,-1,0,0,-1,3,24
1315,2,0,3,5,4,3,1,24,10
1316,0,1,-7,-9,-10,-8,-1,10,16
1317,1,1,-3,-2,2,-1,0,16,15
1318,1,0,4,4,2,4,1,15,23
1319,0,1,7,9,4,5,-1,23,20
1320,1,0,17,15,14,15,1,14,22
1321,0,3,0,-1,-2,-2,-1,22,17
1322,3,2,-3,-4,-4,-3,1,17,11
1323,2,3,-8,-4,-4,-6,-1,11,21
1324,3,1,6,4,3,5,1,21,3
1325,1,3,-7,-7,-4,-6,-1,3,15
1326,3,1,5,6,2,5,1,15,4
1327,1,1,0,-4,0,-3,0,4,6
1328,0,2,-3,-3,-2,-2,-1,3,23
1329,2,3,6,7,6,5,-1,23,10
1330,3,1,-15,-14,-11,-12,1,10,14
1331,0,1,-2,0,-4,-1,-1,6,16
1332,1,1,9,10,13,11,0,16,22
1333,1,2,0,-1,-2,-2,-1,22,17
1334,2,1,-9,-5,-4,-5,1,17,8
1335,1,3,4,0,-1,1,-1,8,24
1336,3,1,4,7,2,3,1,24,20
1337,1,2,-11,-9,-5,-7,-1,20,2
1338,2,2,0,-4,-1,-2,0,2,15
1339,2,1,5,6,2,5,1,15,4
1340,1,1,2,1,2,1,0,4,7
1341,1,2,-3,-3,-2,-2,-1,7,23
1342,2,0,8,7,7,6,1,23,17
1343,0,4,-1,2,-3,-1,-1,17,20
1344,4,1,-4,-6,-2,-3,1,20,3
1345,1,0,-7,-7,-4,-6,1,3,15
1346,0,1,7,6,4,6,-1,15,24
1347,1,2,0,1,0,0,-1,24,3
1348,2,1,-7,-3,-3,-4,1,3,2
1349,1,2,3,2,4,3,-1,2,8
1350,2,3,2,0,-3,0,-1,8,4
1351,3,3,5,5,6,4,0,4,10
1352,3,1,3,-2,-1,-1,1,10,5
1353,1,2,-8,-7,-5,-6,-1,5,6
1354,2,2,-7,-1,-6,-3,0,6,12
1355,2,0,17,15,14,15,1,14,22
1356,0,1,-11,-9,-10,-11,-1,22,21
1357,1,2,6,4,3,5,-1,21,7
1358,2,3,-3,-3,-2,-2,-1,7,23
1359,3,3,-4,-4,-2,-4,0,23,15
1360,3,1,13,9,7,8,1,15,5
1361,1,0,2,1,2,1,1,4,3
1362,0,1,-12,-10,-7,-9,-1,3,14
